nom,nom,nom,nom,num,
A,S,J,O,AS,R
1,1,0,1,3808.0,1
0,0,1,0,3828.0,0
0,0,1,0,3834.0,0
1,1,0,1,3808.0,1
0,1,0,0,3866.0,0
1,1,1,1,3806.0,1
0,1,1,1,3734.0,1
0,1,1,1,3744.0,1
1,1,1,1,3804.0,1
1,0,0,0,3862.0,0
0,1,1,1,3770.0,1
0,1,1,1,3760.0,1
0,1,1,0,3734.0,1
0,1,0,1,3732.0,1
0,0,1,0,3866.0,0
0,1,1,1,3754.0,1
0,1,1,1,3752.0,1
1,1,1,1,3804.0,1
0,1,0,1,3808.0,1
0,1,0,1,3754.0,1
1,1,1,1,3850.0,1
1,1,1,1,3850.0,1
0,1,1,0,3812.0,0
1,1,1,1,3700.0,1
1,0,1,0,3862.0,0
1,1,1,1,3804.0,1
